Jobnum,Cable Num,System,Function,Cable  Type,Origin  Location,Origin  Station,Origin  Conn  Type,Origin  Instr,Dest.  Location,Dest.  Station,Dest.  Conn  Type,Dest.  Instr,Length,Routing
Craig01,12345,Testing,Test,USB 3.0,Test Source,Test Station,Test Conn,0,Test Dest,,,99,1,Test Route1
Craig01,123456,Testing,Test,USB 3.0,Test Source,Test Station,Test Conn,0,Test Dest,,,99,1,Test Route2
CLBPM1,CLT00001,BPMCUS,BPMCUS SIG,LMR4FRX4,"B136-0639-J29R J30B,J31Y,J32G",,N400BJ,SS,"BSY-X-J1R J2B,J3Y,J4G",10057,N400BJ,SS,125,"IC:TB136FP02,TB136FP06,T1,IG136P01F02,WCN3"
CLBPM1,CLT00002,BPMCUS1,BPMCUS1 SIG,LMR4FRX4,"B136-0539-J13R J14B,J15Y,J16G",,N400BJ,SS,"BSY-X-J1R J2B,J3Y,J4G",10195,N400BJ,SS,195,"IC:TB136FP02,TB136FP06,IG136P04F02,TB009FP04,TJ009F05,TB009F06"
CLBPM1,CLT00003,BPMCUS2,BPMCUS2 SIG,LMR4FRX4,"B136-0539-J17R J18B,J19Y,J20G",,N400BJ,SS,"BSY-X-J1R J2B,J3Y,J4G",10213,N400BJ,SS,213,"IC:TB136FP02,TB136FP06,IG136P04F02,TB009FP04,TJ009F05,TB009F06"
CLBPM1,CLT00004,BPMCUS3,BPMCUS3 SIG,LMR6FRX4,"B136-0539-J21R J22B,J23Y,J24G",,N600BJ,SS,"BSY-X-J1R J2B,J3Y,J4G",10223,N600BJ,SS,233,"IC:TB136FP02,TB136FP06,IG136P04F03,TB009FP04,TJ009F05,TB009F06,TA009FG07,TA009FG09"
CLBPM1,CLT00005,BPMCUS4,BPMCUS4 SIG,LMR6FRX4,"B136-0539-J25R J26B,J27Y,J28G",,N600BJ,SS,"BSY-X-J1R J2B,J3Y,J4G",10249,N600BJ,SS,259,"IC:TB136FP02,TB136FP06,IG136P04F03,TB009FP04,TJ009F05,TB009F06,TA009FG07,TA009FG09"
CLBPM1,CLT00006,BPMCUS5,BPMCUS5 SIG,LMR6FRX4,"B136-0539-J29R J30B,J31Y,J32G",,N600BJ,SS,"BSY-X-J1R J2B,J3Y,J4G",10258,N600BJ,SS,278,"IC:TB136FP02,TB136FP06,IG136P04F04,TB009FP04,TJ009F05,TB009F06,TA009FG07,TA009FG09,TJ009FGP03"
CLBPM1,CLT00007,BPMCUS7,BPMCUS7 SIG,LMR6FRX4,"B136-0539-J1R J2B,J3Y,J4G",,N600BJ,SS,"BSY-X-J1R J2B,J3Y,J4G",10270,N600BJ,SS,290,"IC:TB136FP02,TB136FP06,IG136P04F04,TB009FP04,TJ009F05,TB009F06,TA009FG07,TA009FG09,TJ009FGP03"
CLBPM1,CLT00008,BPMCUS8,BPMCUS8 SIG,LMR6FRX4,"B136-0539-J5R J6B,J7Y,J8G",,N600BJ,SS,"BSY-X-J1R J2B,J3Y,J4G",10291,N600BJ,SS,311,"IC:TB136FP02,TB136FP06,IG136P04F04,TB009FP04,TJ009F05,TB009F06,TA009FG07,TA009FG09,TJ009FGP03"
